A–o;Periodo;Par‡metro;Tasa de paro
2022;Trimestre 2;De 16 a 19 a–os;48,7
2022;Trimestre 2;De 20 a 24 a–os;24,1
2022;Trimestre 2;De 25 a 29 a–os;14,28
2022;Trimestre 2;De 30 a 34 a–os;12,24
2022;Trimestre 2;De 35 a 39 a–os;11,02
2022;Trimestre 2;De 40 a 44 a–os;9,91
2022;Trimestre 2;De 45 a 49 a–os;9,4
2022;Trimestre 2;De 50 a 54 a–os;11,61
2022;Trimestre 2;De 55 a 59 a–os;11,72
2022;Trimestre 2;De 60 a 64 a–os;12,79
2022;Trimestre 2;De 65 a 69 a–os;5,99
2022;Trimestre 2;De 70 y m‡s a–os;5,39
